Scraping 237 permits from ILMS (delay 2.0s, headless=True)...

[59/135] 25066775  Partial  5 insp  (1907 VASSAR ST 77098)
[60/135] 26015553  no inspections yet  (1831 BRANARD ST 77098)
[61/135] 26015554  no inspections yet  (1829 BRANARD ST 77098)
[62/135] 25054004  Passed   34 insp  (2914 VIRGINIA ST 77098)
[63/135] 26015338  no inspections yet  (1811 SUL ROSS ST 77098)
[64/135] 26015052  Partial  18 insp  (1744 HAROLD ST 77098)
[65/135] 25117465  Partial  10 insp  (2125 BRANARD ST 77098)
[66/135] 25089013  Partial  27 insp  (2250 BARTLETT ST 77098)
[67/135] 25118739  Partial  16 insp  (2122 NORTH BLVD 77098)
[68/135] 25082242  Partial  3 insp  (1813 BANKS ST 77098)
[69/135] 25063033  Passed   34 insp  (2327 RICHTON ST 77098)
[70/135] 25063034  Partial  36 insp  (2329 RICHTON ST 77098)
[71/135] 25087507  Partial  7 insp  (1959 RICHMOND AVE 77098)
[72/135] 25116922  Partial  14 insp  (1819 BRANARD ST 77098)
[73/135] 25116923  Partial  11 insp  (1817 BRANARD ST 77098)
[74/135] 25098743  Partial  23 insp  (4207 DRISCOLL ST 77098)
[75/135] 25120104  Partial  17 insp  (1911 MILFORD ST 77098)
[76/135] 25058874  Passed   44 insp  (2210 BARTLETT ST 77098)
[77/135] 25104275  Partial  22 insp  (3911 DRISCOLL ST 77098)
[78/135] 25104276  Partial  28 insp  (3909 DRISCOLL ST 77098)
[79/135] 25098739  Partial  51 insp  (4203 DRISCOLL ST 77098)
[80/135] 25059191  Passed   35 insp  (2225 BRANARD ST 77098)
[81/135] 25063028  Passed   41 insp  (2323 RICHTON ST 77098)
[82/135] 25063029  Passed   34 insp  (2325 RICHTON ST 77098)
[83/135] 25116555  Partial  17 insp  (1818 BRANARD ST 77098)
[84/135] 25116311  Partial  7 insp  (1822 BRANARD ST A 77098)
[85/135] 25116312  Partial  7 insp  (1822 BRANARD ST B 77098)
[86/135] 25061191  Partial  24 insp  (1701 BANKS ST 77098)
[87/135] 25116556  Partial  18 insp  (1820 BRANARD ST 77098)
[88/135] 25064850  Passed   33 insp  (2916 VIRGINIA ST 77098)
[89/135] 25112651  Partial  7 insp  (1802 PORTSMOUTH ST D 77098)
[90/135] 25112652  Partial  4 insp  (1802 PORTSMOUTH ST C 77098)
[91/135] 25112653  Partial  4 insp  (1802 PORTSMOUTH ST B 77098)
[92/135] 25112654  Partial  4 insp  (1802 PORTSMOUTH ST A 77098)
[93/135] 26043369  Partial  4 insp  (1744 NORFOLK ST 77098)
[94/135] 26039918  Passed   1 insp  (3319 BAMMEL LN 77098)
[95/135] 26037795  Pending  3 insp  (2630 PERSA ST 77098)
[96/135] 26037796  Pending  2 insp  (2632 PERSA ST 77098)
[97/135] 26020874  Partial  4 insp  (2038 NORFOLK ST 77098)
[98/135] 26042400  Partial  3 insp  (1720 KIPLING ST 77098)
[99/135] 26031928  Partial  4 insp  (2336 BARTLETT ST 77098)
[100/135] 23068821  Passed   34 insp  (1016 RUTHVEN ST B 77019)
[101/135] 25041469  Partial  16 insp  (2235 BRENTWOOD DR 77019)
[102/135] 25028032  Passed   26 insp  (1301 SAULNIER ST 77019)
